基期标签,month,常规已购用户,无任何活动,普通浏览用户,高价值深度互动用户,高价值直购用户,高潜力首购用户
常规已购用户,2019-11,0.16203668467919932,0.40520587563741534,0.28540984854250706,0.031128700814369435,0.02405053657051526,0.09216835375599361
常规已购用户,2019-12,0.12740695638937513,0.49417763908973283,0.2588477053048177,0.037369662835832256,0.024126645863459927,0.0580713905167821
常规已购用户,2020-01,0.08524240809802877,0.5807900144607656,0.24507192328183272,0.017581246670218435,0.01628738869015907,0.05502701879899536
常规已购用户,2020-02,0.07976253900601263,0.6158763985082578,0.20922444630489384,0.016820153740771747,0.015297967881878377,0.06301849455818555
常规已购用户,2020-03,0.08592739173453079,0.6630641601339523,0.18372783316842986,0.014460765659487023,0.011416393941700282,0.04140345536189969
常规已购用户,2020-04,0.061496308699292186,0.702184336707512,0.1729964228632316,0.013851891315929675,0.00783925717330086,0.041631783240733695
普通浏览用户,2019-11,0.043837876111703325,0.5650215143286207,0.3232206911040391,0.006746084236572024,0.003563675409861577,0.05761015880920331
普通浏览用户,2019-12,0.03839899158879232,0.6164847221033466,0.28667356577626657,0.009002559932772587,0.005065398890436433,0.04437476170838553
普通浏览用户,2020-01,0.022627004567418046,0.6899680202927194,0.24629043176495305,0.0034625230510663793,0.003050132665209035,0.03460188765863413
普通浏览用户,2020-02,0.02259588076471183,0.7213408134205838,0.21550899088850675,0.0038048848808347403,0.003579237311214684,0.03317019273414826
普通浏览用户,2020-03,0.027396727332145442,0.7510017973996063,0.18952061562881753,0.003913818190306491,0.002855608898295194,0.02531143255082906
普通浏览用户,2020-04,0.024074261393257027,0.7709910596876727,0.1710175149199729,0.004707475159314965,0.0022020090414646863,0.02700767979831776
高价值深度互动用户,2019-11,0.21605550049554015,0.2398414271555996,0.20218037661050545,0.18780971258671952,0.05550049554013875,0.09861248761149653
高价值深度互动用户,2019-12,0.14717542120911795,0.4207135777998018,0.1952428146679881,0.1273538156590684,0.04509415262636274,0.06442021803766106
高价值深度互动用户,2020-01,0.1110009910802775,0.5079286422200199,0.20812685827552033,0.0777998017839445,0.03468780971258672,0.06045589692765114
高价值深度互动用户,2020-02,0.11496531219028741,0.5708622398414271,0.1506442021803766,0.06739345887016848,0.03270564915758176,0.06342913776015857
高价值深度互动用户,2020-03,0.09910802775024777,0.6238850346878098,0.15510406342913777,0.05946481665014866,0.027750247770069375,0.03468780971258672
高价值深度互动用户,2020-04,0.06293359762140734,0.6907829534192269,0.1565906838453915,0.023290386521308225,0.010406342913776016,0.05599603567888999
高价值直购用户,2019-11,0.18747355057130766,0.38087177316969956,0.1938214134574693,0.06982649174777825,0.10876005078290309,0.05924672027084215
高价值直购用户,2019-12,0.12399492170969106,0.5569191705459162,0.1599661447312738,0.05543800253914515,0.07829030892932713,0.025391451544646636
高价值直购用户,2020-01,0.08167583580194668,0.652137113838341,0.1493863732543377,0.03893355903512484,0.054168429961912824,0.02369868810833686
高价值直购用户,2020-02,0.07913669064748201,0.6944561997460855,0.1184934405416843,0.02581464240372408,0.052052475666525606,0.03004655099449852
高价值直购用户,2020-03,0.08633093525179857,0.7304274227676683,0.11129919593736776,0.022005924672027083,0.03046974185357596,0.01946677951756242
高价值直购用户,2020-04,0.05755395683453238,0.780787134997884,0.10749047820567076,0.013118916631400761,0.017774016081252644,0.023275497249259414
高潜力首购用户,2019-11,0.10151627218934911,0.34023668639053256,0.36020710059171596,0.022374260355029586,0.009060650887573964,0.16660502958579881
高潜力首购用户,2019-12,0.07729289940828403,0.4683801775147929,0.3173076923076923,0.021634615384615384,0.008875739644970414,0.10650887573964497
高潜力首购用户,2020-01,0.040680473372781065,0.5717455621301775,0.2930843195266272,0.01201923076923077,0.006656804733727811,0.07581360946745562
高潜力首购用户,2020-02,0.04770710059171598,0.6146449704142012,0.2403846153846154,0.008321005917159764,0.005732248520710059,0.08321005917159763
高潜力首购用户,2020-03,0.052144970414201186,0.6629068047337278,0.2198594674556213,0.005732248520710059,0.005362426035502958,0.053994082840236685
高潜力首购用户,2020-04,0.03735207100591716,0.6930473372781065,0.20857988165680474,0.007766272189349112,0.0022189349112426036,0.05103550295857988
